,Training Times Before Weight Copy = 50,Training Times Before Weight Copy = 100,Training Times Before Weight Copy = 1000,Training Times Before Weight Copy = 10000
0,82.0,54.0,64.0,71.0
1,90.0,67.0,91.0,55.0
2,61.0,90.0,53.0,68.0
3,105.0,84.0,270.0,55.0
4,58.0,75.0,126.0,70.0
5,86.0,65.0,55.0,57.0
6,65.0,49.0,115.0,88.0
7,65.0,77.0,58.0,80.0
8,53.0,81.0,61.0,58.0
9,94.0,81.0,52.0,75.0
10,85.0,57.0,222.0,75.0
11,96.0,59.0,65.0,58.0
12,87.0,75.0,64.0,66.0
13,127.0,58.0,60.0,77.0
14,146.0,84.0,57.0,106.0
15,109.0,78.0,67.0,68.0
16,90.0,85.0,86.0,109.0
17,111.0,154.0,64.0,67.0
18,118.0,62.0,71.0,80.0
19,272.0,80.0,57.0,68.0
20,110.0,94.0,62.0,97.0
21,99.0,461.0,61.0,98.0
22,265.0,98.0,65.0,69.0
23,181.0,110.0,90.0,57.0
24,228.0,143.0,88.0,62.0
25,158.0,245.0,88.0,79.0
26,179.0,257.0,66.0,56.0
27,141.0,127.0,82.0,84.0
28,117.0,154.0,53.0,69.0
29,187.0,150.0,61.0,61.0
30,149.0,127.0,81.0,55.0
31,201.0,125.0,58.0,65.0
32,269.0,141.0,83.0,115.0
33,204.0,159.0,60.0,72.0
34,152.0,126.0,88.0,69.0
35,146.0,116.0,62.0,81.0
36,139.0,151.0,52.0,84.0
37,115.0,202.0,57.0,102.0
38,195.0,146.0,53.0,74.0
39,146.0,117.0,59.0,120.0
40,105.0,123.0,92.0,120.0
41,111.0,171.0,74.0,129.0
42,146.0,159.0,89.0,185.0
43,94.0,208.0,76.0,96.0
44,168.0,230.0,51.0,85.0
45,140.0,172.0,63.0,218.0
46,135.0,235.0,81.0,222.0
47,158.0,179.0,76.0,253.0
48,213.0,194.0,75.0,144.0
49,103.0,219.0,78.0,294.0
50,109.0,218.0,62.0,170.0
51,118.0,177.0,86.0,214.0
52,119.0,391.0,101.0,187.0
53,202.0,221.0,50.0,169.0
54,189.0,193.0,80.0,243.0
55,519.0,169.0,77.0,298.0
56,289.0,178.0,55.0,283.0
57,1000.0,194.0,90.0,168.0
58,155.0,243.0,55.0,373.0
59,199.0,316.0,77.0,204.0
60,296.0,222.0,86.0,268.0
61,490.0,259.0,52.0,295.0
62,253.0,186.0,85.0,261.0
63,144.0,179.0,76.0,255.0
64,351.0,253.0,62.0,190.0
65,249.0,241.0,62.0,255.0
66,698.0,259.0,57.0,174.0
67,163.0,262.0,77.0,177.0
68,597.0,265.0,52.0,281.0
69,225.0,292.0,56.0,326.0
70,361.0,258.0,80.0,221.0
71,395.0,273.0,56.0,174.0
72,196.0,313.0,53.0,311.0
73,868.0,220.0,68.0,173.0
74,306.0,191.0,75.0,232.0
75,425.0,273.0,53.0,242.0
76,163.0,253.0,83.0,227.0
77,144.0,251.0,54.0,225.0
78,530.0,289.0,87.0,169.0
79,541.0,248.0,60.0,178.0
80,255.0,295.0,72.0,217.0
81,117.0,234.0,84.0,202.0
82,496.0,277.0,58.0,163.0
83,379.0,253.0,73.0,155.0
84,109.0,193.0,68.0,138.0
85,1000.0,259.0,64.0,204.0
86,112.0,253.0,88.0,146.0
87,191.0,295.0,72.0,198.0
88,343.0,227.0,90.0,157.0
89,208.0,236.0,53.0,135.0
90,424.0,183.0,79.0,164.0
91,195.0,138.0,76.0,209.0
92,241.0,110.0,72.0,153.0
93,323.0,254.0,56.0,188.0
94,181.0,272.0,53.0,209.0
95,139.0,292.0,83.0,278.0
96,275.0,234.0,71.0,139.0
97,238.0,196.0,85.0,301.0
98,116.0,200.0,82.0,185.0
99,517.0,311.0,58.0,192.0
100,210.0,213.0,83.0,203.0
101,1000.0,275.0,70.0,230.0
102,318.0,338.0,57.0,259.0
103,1000.0,192.0,87.0,298.0
104,181.0,236.0,60.0,175.0
105,98.0,268.0,66.0,279.0
106,355.0,315.0,52.0,162.0
107,493.0,201.0,82.0,188.0
108,431.0,314.0,88.0,250.0
109,724.0,273.0,94.0,240.0
110,559.0,254.0,51.0,190.0
111,406.0,254.0,69.0,224.0
112,536.0,295.0,89.0,217.0
113,210.0,253.0,76.0,182.0
114,314.0,328.0,80.0,274.0
115,433.0,407.0,63.0,257.0
116,560.0,312.0,65.0,167.0
117,277.0,393.0,57.0,159.0
118,525.0,317.0,71.0,330.0
119,187.0,330.0,58.0,193.0
120,188.0,414.0,68.0,319.0
121,299.0,475.0,115.0,148.0
122,144.0,386.0,141.0,177.0
123,556.0,262.0,149.0,174.0
124,552.0,338.0,69.0,169.0
125,233.0,291.0,74.0,229.0
126,508.0,383.0,93.0,239.0
127,138.0,261.0,96.0,151.0
128,489.0,343.0,73.0,171.0
129,500.0,242.0,80.0,125.0
130,619.0,258.0,99.0,203.0
131,409.0,274.0,81.0,124.0
132,1000.0,397.0,123.0,166.0
133,216.0,300.0,82.0,141.0
134,593.0,394.0,66.0,121.0
135,632.0,381.0,56.0,200.0
136,439.0,401.0,62.0,142.0
137,513.0,263.0,78.0,177.0
138,210.0,316.0,68.0,302.0
139,1000.0,275.0,59.0,251.0
140,199.0,416.0,84.0,151.0
141,177.0,392.0,67.0,133.0
142,655.0,205.0,53.0,184.0
143,1000.0,342.0,140.0,299.0
144,1000.0,284.0,54.0,326.0
145,615.0,326.0,145.0,365.0
146,595.0,289.0,62.0,205.0
147,213.0,248.0,52.0,213.0
148,526.0,295.0,84.0,224.0
149,1000.0,305.0,55.0,193.0
150,551.0,309.0,63.0,298.0
151,658.0,248.0,105.0,264.0
152,1000.0,238.0,61.0,342.0
153,476.0,318.0,63.0,311.0
154,1000.0,337.0,74.0,247.0
155,1000.0,220.0,129.0,239.0
156,1000.0,242.0,59.0,325.0
157,389.0,310.0,61.0,284.0
158,1000.0,289.0,81.0,395.0
159,458.0,405.0,60.0,254.0
160,692.0,381.0,80.0,164.0
161,624.0,265.0,80.0,205.0
162,256.0,346.0,65.0,226.0
163,881.0,335.0,75.0,302.0
164,1000.0,267.0,79.0,258.0
165,841.0,277.0,133.0,663.0
166,921.0,275.0,68.0,299.0
167,878.0,323.0,74.0,190.0
168,1000.0,359.0,59.0,261.0
169,288.0,241.0,71.0,147.0
170,491.0,394.0,62.0,280.0
171,249.0,260.0,83.0,328.0
172,622.0,254.0,108.0,210.0
173,182.0,368.0,110.0,397.0
174,196.0,284.0,63.0,263.0
175,436.0,357.0,110.0,544.0
176,563.0,210.0,71.0,148.0
177,451.0,340.0,53.0,180.0
178,528.0,415.0,56.0,297.0
179,598.0,323.0,56.0,209.0
180,372.0,441.0,70.0,285.0
181,615.0,387.0,176.0,230.0
182,412.0,350.0,65.0,468.0
183,414.0,161.0,134.0,365.0
184,558.0,263.0,92.0,332.0
185,487.0,289.0,59.0,125.0
186,438.0,240.0,61.0,153.0
187,335.0,534.0,83.0,350.0
188,424.0,267.0,99.0,173.0
189,426.0,375.0,62.0,391.0
190,1000.0,396.0,76.0,258.0
191,624.0,320.0,57.0,357.0
192,338.0,341.0,80.0,298.0
193,144.0,229.0,53.0,297.0
194,554.0,440.0,82.0,301.0
195,326.0,313.0,57.0,224.0
196,451.0,400.0,60.0,284.0
197,1000.0,488.0,114.0,320.0
198,571.0,267.0,59.0,450.0
199,155.0,494.0,86.0,664.0
200,262.0,398.0,120.0,322.0
201,305.0,430.0,54.0,220.0
202,463.0,324.0,69.0,396.0
203,238.0,448.0,54.0,410.0
204,455.0,413.0,71.0,115.0
205,282.0,205.0,70.0,314.0
206,956.0,445.0,131.0,274.0
207,220.0,325.0,59.0,291.0
208,356.0,627.0,60.0,311.0
209,392.0,388.0,85.0,207.0
210,570.0,443.0,157.0,243.0
211,167.0,460.0,56.0,242.0
212,996.0,170.0,65.0,292.0
213,877.0,348.0,80.0,265.0
214,1000.0,232.0,105.0,361.0
215,742.0,298.0,109.0,291.0
216,892.0,407.0,53.0,223.0
217,504.0,269.0,139.0,237.0
218,465.0,475.0,64.0,230.0
219,1000.0,319.0,70.0,344.0
220,1000.0,381.0,122.0,227.0
221,1000.0,289.0,73.0,244.0
222,1000.0,394.0,140.0,202.0
223,338.0,468.0,151.0,155.0
224,794.0,409.0,140.0,330.0
225,1000.0,456.0,57.0,483.0
226,1000.0,361.0,74.0,218.0
227,1000.0,179.0,86.0,955.0
228,1000.0,369.0,82.0,311.0
229,204.0,357.0,74.0,197.0
230,1000.0,419.0,88.0,205.0
231,1000.0,536.0,81.0,350.0
232,1000.0,697.0,56.0,174.0
233,1000.0,562.0,87.0,283.0
234,1000.0,541.0,61.0,516.0
235,1000.0,255.0,63.0,361.0
236,950.0,151.0,76.0,553.0
237,1000.0,451.0,64.0,203.0
238,1000.0,339.0,137.0,462.0
239,946.0,427.0,191.0,246.0
240,990.0,506.0,68.0,235.0
241,975.0,517.0,86.0,175.0
242,1000.0,570.0,153.0,171.0
243,1000.0,367.0,64.0,397.0
244,1000.0,280.0,164.0,223.0
245,1000.0,409.0,66.0,210.0
246,1000.0,234.0,126.0,267.0
247,991.0,139.0,82.0,453.0
248,1000.0,527.0,191.0,784.0
249,1000.0,106.0,167.0,657.0
250,939.0,109.0,128.0,260.0
251,1000.0,168.0,55.0,601.0
252,1000.0,314.0,195.0,741.0
253,1000.0,395.0,56.0,275.0
254,1000.0,615.0,150.0,296.0
255,901.0,265.0,85.0,350.0
256,909.0,392.0,71.0,481.0
257,996.0,422.0,209.0,318.0
258,1000.0,169.0,57.0,351.0
259,1000.0,419.0,85.0,406.0
260,1000.0,343.0,169.0,257.0
261,1000.0,412.0,75.0,656.0
262,1000.0,468.0,115.0,194.0
263,1000.0,352.0,114.0,272.0
264,1000.0,220.0,101.0,421.0
265,1000.0,260.0,171.0,294.0
266,1000.0,410.0,71.0,126.0
267,935.0,431.0,82.0,292.0
268,1000.0,393.0,168.0,757.0
269,1000.0,685.0,77.0,526.0
270,1000.0,395.0,178.0,469.0
271,981.0,513.0,126.0,222.0
272,1000.0,228.0,107.0,434.0
273,1000.0,291.0,160.0,231.0
274,951.0,189.0,70.0,740.0
275,996.0,449.0,135.0,823.0
276,1000.0,438.0,131.0,887.0
277,1000.0,662.0,205.0,570.0
278,1000.0,478.0,185.0,177.0
279,969.0,324.0,121.0,923.0
280,133.0,606.0,157.0,390.0
281,1000.0,437.0,122.0,658.0
282,941.0,506.0,111.0,1000.0
283,1000.0,493.0,114.0,696.0
284,1000.0,479.0,98.0,299.0
285,1000.0,531.0,160.0,335.0
286,973.0,657.0,176.0,1000.0
287,1000.0,342.0,114.0,1000.0
288,1000.0,512.0,213.0,426.0
289,160.0,385.0,121.0,180.0
290,1000.0,593.0,158.0,1000.0
291,1000.0,661.0,161.0,811.0
292,1000.0,517.0,97.0,374.0
293,1000.0,1000.0,154.0,1000.0
294,1000.0,583.0,263.0,457.0
295,1000.0,156.0,72.0,291.0
296,935.0,594.0,84.0,235.0
297,1000.0,170.0,188.0,403.0
298,527.0,157.0,334.0,221.0
299,964.0,659.0,103.0,230.0
300,1000.0,566.0,98.0,145.0
301,1000.0,515.0,250.0,1000.0
302,1000.0,572.0,179.0,1000.0
303,1000.0,660.0,174.0,380.0
304,1000.0,580.0,70.0,305.0
305,964.0,649.0,172.0,1000.0
306,552.0,744.0,159.0,871.0
307,977.0,220.0,301.0,1000.0
308,224.0,616.0,99.0,219.0
309,925.0,739.0,146.0,1000.0
310,960.0,638.0,112.0,1000.0
311,923.0,630.0,280.0,1000.0
312,934.0,638.0,132.0,1000.0
313,940.0,514.0,168.0,446.0
314,1000.0,903.0,273.0,1000.0
315,1000.0,783.0,196.0,411.0
316,946.0,672.0,181.0,1000.0
317,899.0,701.0,133.0,1000.0
318,917.0,740.0,156.0,1000.0
319,1000.0,615.0,239.0,1000.0
320,918.0,740.0,125.0,1000.0
321,929.0,628.0,260.0,667.0
322,880.0,740.0,81.0,1000.0
323,943.0,703.0,87.0,294.0
324,934.0,589.0,159.0,227.0
325,1000.0,515.0,100.0,373.0
326,952.0,681.0,158.0,1000.0
327,1000.0,694.0,102.0,1000.0
328,998.0,679.0,69.0,540.0
329,958.0,776.0,136.0,1000.0
330,959.0,615.0,138.0,169.0
331,936.0,569.0,147.0,419.0
332,887.0,769.0,161.0,454.0
333,948.0,707.0,167.0,366.0
334,881.0,769.0,99.0,1000.0
335,888.0,654.0,155.0,1000.0
336,895.0,773.0,147.0,1000.0
337,835.0,738.0,89.0,1000.0
338,943.0,170.0,136.0,125.0
339,899.0,635.0,95.0,1000.0
340,919.0,895.0,176.0,1000.0
341,902.0,841.0,172.0,567.0
342,917.0,798.0,122.0,315.0
343,856.0,684.0,141.0,477.0
344,880.0,716.0,138.0,1000.0
345,943.0,641.0,156.0,807.0
346,961.0,809.0,120.0,1000.0
347,893.0,772.0,126.0,1000.0
348,857.0,677.0,161.0,1000.0
349,773.0,542.0,190.0,1000.0
350,904.0,718.0,150.0,1000.0
351,860.0,693.0,124.0,179.0
352,792.0,701.0,157.0,127.0
353,852.0,601.0,90.0,1000.0
354,851.0,858.0,158.0,1000.0
355,892.0,636.0,152.0,1000.0
356,867.0,813.0,86.0,1000.0
357,760.0,671.0,226.0,274.0
358,822.0,757.0,139.0,1000.0
359,791.0,750.0,139.0,866.0
360,830.0,739.0,90.0,86.0
361,804.0,1000.0,122.0,1000.0
362,831.0,605.0,125.0,1000.0
363,791.0,705.0,190.0,241.0
364,323.0,691.0,107.0,1000.0
365,430.0,685.0,91.0,282.0
366,915.0,776.0,158.0,1000.0
367,884.0,823.0,114.0,326.0
368,797.0,149.0,87.0,1000.0
369,427.0,1000.0,123.0,1000.0
370,599.0,774.0,125.0,1000.0
371,917.0,144.0,198.0,85.0
372,688.0,930.0,133.0,1000.0
373,796.0,794.0,183.0,1000.0
374,905.0,622.0,141.0,1000.0
375,852.0,588.0,198.0,1000.0
376,796.0,615.0,175.0,1000.0
377,907.0,876.0,122.0,1000.0
378,820.0,615.0,157.0,1000.0
379,761.0,861.0,167.0,1000.0
380,744.0,957.0,153.0,1000.0
381,759.0,571.0,117.0,1000.0
382,485.0,580.0,144.0,1000.0
383,807.0,865.0,174.0,1000.0
384,406.0,814.0,157.0,1000.0
385,578.0,645.0,132.0,1000.0
386,723.0,706.0,175.0,1000.0
387,769.0,711.0,82.0,1000.0
388,746.0,578.0,176.0,1000.0
389,848.0,1000.0,136.0,1000.0
390,766.0,713.0,144.0,1000.0
391,764.0,772.0,138.0,1000.0
392,850.0,752.0,152.0,1000.0
393,859.0,692.0,267.0,1000.0
394,836.0,547.0,151.0,1000.0
395,834.0,163.0,107.0,1000.0
396,805.0,658.0,162.0,1000.0
397,805.0,721.0,96.0,1000.0
398,785.0,217.0,157.0,1000.0
399,773.0,771.0,156.0,1000.0
400,747.0,716.0,87.0,1000.0
401,751.0,864.0,152.0,1000.0
402,760.0,836.0,102.0,1000.0
403,747.0,143.0,116.0,1000.0
404,709.0,1000.0,90.0,1000.0
405,742.0,257.0,159.0,1000.0
406,738.0,978.0,256.0,1000.0
407,744.0,1000.0,80.0,1000.0
408,749.0,165.0,131.0,1000.0
409,764.0,938.0,116.0,1000.0
410,837.0,974.0,116.0,1000.0
411,727.0,1000.0,289.0,1000.0
412,810.0,271.0,145.0,1000.0
413,720.0,1000.0,156.0,1000.0
414,762.0,222.0,91.0,1000.0
415,740.0,975.0,91.0,1000.0
416,676.0,1000.0,108.0,409.0
417,816.0,1000.0,129.0,1000.0
418,783.0,989.0,94.0,1000.0
419,793.0,1000.0,311.0,1000.0
420,788.0,1000.0,151.0,321.0
421,836.0,831.0,151.0,1000.0
422,826.0,628.0,164.0,1000.0
423,812.0,785.0,125.0,1000.0
424,591.0,401.0,433.0,1000.0
425,638.0,701.0,151.0,1000.0
426,927.0,734.0,97.0,1000.0
427,749.0,1000.0,178.0,1000.0
428,677.0,859.0,89.0,1000.0
429,552.0,740.0,186.0,1000.0
430,390.0,1000.0,146.0,1000.0
431,554.0,791.0,221.0,1000.0
432,806.0,1000.0,87.0,1000.0
433,620.0,974.0,165.0,1000.0
434,656.0,252.0,161.0,1000.0
435,141.0,733.0,171.0,1000.0
436,945.0,885.0,228.0,1000.0
437,193.0,686.0,96.0,587.0
438,499.0,909.0,148.0,1000.0
439,830.0,669.0,186.0,1000.0
440,792.0,968.0,152.0,1000.0
441,766.0,1000.0,164.0,1000.0
442,756.0,1000.0,117.0,1000.0
443,727.0,927.0,155.0,1000.0
444,250.0,271.0,152.0,1000.0
445,692.0,848.0,145.0,360.0
446,280.0,371.0,134.0,1000.0
447,846.0,789.0,135.0,1000.0
448,878.0,847.0,142.0,1000.0
449,666.0,467.0,124.0,1000.0
450,764.0,615.0,100.0,1000.0
451,763.0,1000.0,98.0,1000.0
452,670.0,719.0,104.0,1000.0
453,762.0,982.0,98.0,1000.0
454,1000.0,596.0,99.0,1000.0
455,591.0,920.0,94.0,1000.0
456,716.0,880.0,100.0,1000.0
457,622.0,734.0,261.0,1000.0
458,426.0,855.0,134.0,1000.0
459,515.0,1000.0,175.0,1000.0
460,833.0,1000.0,110.0,421.0
461,671.0,524.0,154.0,1000.0
462,620.0,349.0,93.0,1000.0
463,714.0,796.0,168.0,1000.0
464,702.0,441.0,129.0,1000.0
465,681.0,1000.0,106.0,1000.0
466,577.0,805.0,158.0,1000.0
467,751.0,547.0,153.0,1000.0
468,530.0,819.0,158.0,1000.0
469,703.0,1000.0,126.0,1000.0
470,370.0,460.0,291.0,1000.0
471,671.0,961.0,123.0,1000.0
472,590.0,871.0,168.0,1000.0
473,554.0,640.0,95.0,1000.0
474,700.0,1000.0,146.0,1000.0
475,538.0,1000.0,138.0,1000.0
476,736.0,789.0,168.0,1000.0
477,413.0,1000.0,122.0,1000.0
478,395.0,424.0,100.0,1000.0
479,568.0,774.0,144.0,1000.0
480,671.0,869.0,134.0,1000.0
481,704.0,709.0,191.0,1000.0
482,537.0,1000.0,134.0,1000.0
483,733.0,298.0,352.0,1000.0
484,799.0,830.0,98.0,1000.0
485,441.0,566.0,102.0,1000.0
486,729.0,1000.0,214.0,1000.0
487,679.0,615.0,171.0,1000.0
488,464.0,123.0,151.0,1000.0
489,481.0,1000.0,238.0,1000.0
490,727.0,1000.0,109.0,1000.0
491,746.0,1000.0,179.0,1000.0
492,552.0,1000.0,183.0,1000.0
493,637.0,871.0,188.0,1000.0
494,542.0,510.0,174.0,1000.0
495,623.0,1000.0,91.0,1000.0
496,722.0,859.0,135.0,1000.0
497,540.0,1000.0,88.0,1000.0
498,765.0,468.0,110.0,1000.0
499,656.0,1000.0,176.0,1000.0
500,630.0,1000.0,78.0,1000.0
